symptoms,department
"itching, skin rash, nodal skin eruptions, dischromic  patches",Dermatology
"skin rash, nodal skin eruptions, dischromic  patches",Dermatology
"itching, nodal skin eruptions, dischromic  patches",Dermatology
"itching, skin rash, dischromic  patches",Dermatology
"itching, skin rash, nodal skin eruptions",Dermatology
"itching, redness, swelling, blistering",Dermatology
"scaly patches, skin flaking, itching, pain",Dermatology
"skin rash, nodules, skin discoloration, pain",Dermatology
"dry skin, cracking, itching, inflammation",Dermatology
"hives, itching, raised welts, redness",Dermatology
"dark spots, skin thickening, discoloration, scarring",Dermatology
"pustules, redness, oiliness, facial swelling",Dermatology
"itchy scalp, dandruff, hair loss, scalp sores",Dermatology
"sunburn, redness, peeling skin, pain",Dermatology
"blisters, fluid-filled lesions, itching, crusting",Dermatology
"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain",Gastroenterology
"stomach pain, ulcers on tongue, vomiting, cough, chest pain",Gastroenterology
"stomach pain, acidity, vomiting, cough, chest pain",Gastroenterology
"stomach pain, acidity, ulcers on tongue, cough, chest pain",Gastroenterology
"stomach pain, acidity, ulcers on tongue, vomiting, chest pain",Gastroenterology
"stomach pain, acidity, ulcers on tongue, vomiting, cough",Gastroenterology
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Neurology
"indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Neurology
"acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Neurology
"acidity, indigestion, headache, excessive hunger, stiff neck, depression, irritability, visual disturbances",Neurology
"acidity, indigestion, headache, blurred and distorted vision, stiff neck, depression, irritability, visual disturbances",Neurology
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, depression, irritability, visual disturbances",Neurology
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, irritability, visual disturbances",Neurology
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, visual disturbances",Neurology
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability",Neurology
"vomiting, headache, weakness of one body side, altered sensorium",Neurology
"headache, weakness of one body side, altered sensorium",Neurology
"vomiting, headache, altered sensorium",Neurology
"vomiting, headache, weakness of one body side",Neurology
"severe headache, nausea, sensitivity to light, blurred vision",Neurology
"numbness, tingling, muscle weakness, difficulty walking",Neurology
"seizures, confusion, loss of consciousness, muscle spasms",Neurology
"loss of balance, dizziness, blurred vision, difficulty speaking",Neurology
"tremors, slow movements, muscle stiffness, balance issues",Neurology
"memory loss, confusion, difficulty concentrating, personality changes",Neurology
"weakness on one side of the body, slurred speech, drooping face",Neurology
"chronic pain, numbness, tingling, burning sensation",Neurology
"double vision, difficulty focusing, muscle weakness, drooping eyelid",Neurology
